  "arch": "1024-1024",
  "offline_ratio": 1.0,
average_return                     66.4134
average_return                     77.0955
average_return                     77.6556
average_return                     76.3246
average_return                     85.7277
average_return                     82.552
average_return                     86.3377
average_return                     94.3408
average_return                     92.8431
average_return                     94.8027
average_return                     92.3208
average_return                     93.1636
average_return                     92.3573
average_return                     92.9391
average_return                     92.5169
average_return                     92.0202
average_return                     94.304
average_return                     91.3283
average_return                     90.9972
average_return                     93.6022
average_return                     95.2412
average_return                     93.1792
average_return                     96.2739
average_return                     92.2927
average_return                     95.3604
average_return                     95.3284
average_return                     96.5054
average_return                     97.1605
average_return                     97.1426
average_return                     97.5944
average_return                     97.7683
average_return                     96.7015
average_return                     97.6719
average_return                     95.9963
average_return                     95.9588
average_return                     96.417
average_return                     98.389
average_return                     96.6903
average_return                     98.7127
average_return                     99.2547
average_return                     97.0801
average_return                     99.9631
average_return                     97.7255
average_return                    100.692
average_return                    100.582
average_return                    100.996
average_return                    100.381
average_return                    100.582
average_return                    100.805
average_return                      7.08019
average_return                       7.04725
average_return                       6.97689
average_return                       7.03078
average_return                       6.98281
average_return                       6.96852
average_return                       7.02342
average_return                       6.98226
average_return                       6.9767
average_return                       6.94462
average_return                       6.95399
average_return                       6.94668
average_return                       6.93514
average_return                       6.94975
average_return                       6.93277
average_return                       6.9412
average_return                       6.9353
average_return                       6.95817
average_return                       6.95436
average_return                       6.94268
average_return                       6.97546
average_return                       6.94784
average_return                       6.95895
average_return                       6.96209
average_return                       6.97396
average_return                       6.9682
average_return                        6.96666
average_return                        6.96987
average_return                        6.99502
average_return                        6.99317
average_return                        6.97126
average_return                        6.97305
average_return                        6.98045
average_return                        6.97706
average_return                        6.9893
average_return                        6.98956
average_return                        6.99401
average_return                        6.98807
average_return                        6.99302
average_return                        7.01882
average_return                        7.00324
average_return                        7.0086
average_return                        7.01559
average_return                        6.99564
average_return                        6.99978
average_return                        7.00086
average_return                        7.01048
average_return                        6.96852
average_return                        6.97638
average_return                        6.99516
average_return                        6.98763
average_return                        7.00333
average_return                        6.98818
average_return                        6.99459
average_return                        6.9937
average_return                        7.00797
average_return                        7.01786
average_return                        7.00328
average_return                        7.01262
average_return                        7.02608
average_return                        7.01864
average_return                        7.0127
average_return                        7.00572
average_return                        6.97649
average_return                       6.9966
average_return                       6.99957
average_return                       7.01814
average_return                       7.01049
average_return                       7.01354
average_return                       6.99853
average_return                       7.00873
average_return                       7.00102
average_return                       7.01486
average_return                       7.01373
average_return                       7.04329
average_return                       7.03582
average_return                       7.05876
average_return                       7.05536
average_return                       7.07113
average_return                       7.06568
average_return                       7.05222
average_return                       7.07735
average_return                       7.07205
average_return                       7.06262
average_return                       7.08174
average_return                       7.07295
average_return                       7.07809
average_return                       7.07279
average_return                       7.06291
average_return                       7.07669
average_return                       7.06299
average_return                       7.07123
average_return                       7.05751
average_return                       7.06548
average_return                       7.08155
average_return                       7.06087
average_return                       7.06472
average_return                       7.07448
average_return                       7.07374
average_return                       7.06306
average_return                       7.08742
average_return                       7.06881
average_return                       7.08075
average_return                       7.07509
average_return                       7.09874
average_return                       7.07358
average_return                       7.06478
average_return                       7.06456
average_return                       7.08513
average_return                       7.09786
average_return                       7.11692
average_return                       7.08306
average_return                       7.1172
average_return                       7.12645
average_return                       7.11379
average_return                       7.11988
average_return                       7.11946
average_return                       7.10075
average_return                       7.09508
average_return                       7.09988
average_return                       7.10661
average_return                       7.11745
average_return                       7.08908
average_return                       7.11106
average_return                       7.11821
average_return                       7.1104
average_return                       7.10271
average_return                       7.09684
average_return                       7.09491
average_return                       7.0962
average_return                       7.13278
average_return                       7.10341
average_return                       7.10447
average_return                       7.10439
average_return                       7.0903
average_return                       7.11482
average_return                       7.09786
average_return                       7.09394
average_return                       7.11512
average_return                       7.11995
average_return                       7.12191
average_return                       7.09615
average_return                       7.09751
average_return                       7.10809
average_return                       7.11872
average_return                       7.10386
average_return                       7.09201
average_return                       7.09834
average_return                       7.09725
average_return                       7.09587
average_return                       7.07279
average_return                       7.08247
average_return                       7.09904
average_return                       7.0901
average_return                       7.08313
average_return                       7.09837
average_return                       7.11278
average_return                       7.07382
average_return                       7.09066
average_return                       7.08045
average_return                       7.07839
average_return                       7.0903
average_return                       7.09228
average_return                       7.08167
average_return                       7.09506
average_return                       7.08174
average_return                       7.10234
average_return                       7.10172
average_return                       7.08107
average_return                       7.07029
average_return                       7.09727
average_return                       7.09295
average_return                       7.09002
average_return                       7.09747
average_return                       7.07439
average_return                       7.10934
average_return                       7.08499
average_return                       7.08789
average_return                       7.0789
average_return                       7.07988
average_return                       7.08376
average_return                       7.09227
average_return                       7.0728
average_return                       7.07997
average_return                       7.08471
average_return                       7.0933
average_return                       7.07993
average_return                       7.08498
average_return                       7.07523
average_return                       7.10041
average_return                       7.09534
average_return                       7.10947
average_return                       7.09338
average_return                       7.11184
average_return                       7.07975
average_return                       7.09588
average_return                       7.09879
average_return                       7.09511
average_return                       7.08574
average_return                       7.10991
average_return                       7.10234
average_return                       7.0953
average_return                       7.09481
average_return                       7.08162
average_return                       7.09015
average_return                       7.07777
average_return                       7.09091
average_return                       7.07958
average_return                       7.09009
average_return                       7.08146
average_return                       7.09553
average_return                       7.09094
average_return                       7.09111
average_return                       7.11335
average_return                       7.10511
average_return                       7.08129
average_return                       7.09812
average_return                       7.09639
average_return                       7.09594
average_return                       7.07894
average_return                       7.09108
average_return                       7.07855
average_return                       7.11542
average_return                       7.06669
average_return                       7.0871
average_return                       7.09433
average_return                       7.09167
average_return                       7.0848
average_return                       7.07939
average_return                       7.09206
average_return                       7.07876
average_return                       7.08931
average_return                       7.08339
average_return                       7.08409
average_return                       7.08263
average_return                       7.07945
average_return                       7.08301
average_return                       7.07074
average_return                       7.08148
average_return                       7.0675
average_return                       7.07727
average_return                       7.07945
average_return                       7.06847
average_return                       7.07075
average_return                       7.06644
average_return                       7.07247
average_return                       7.07792
average_return                       7.08172
average_return                       7.07865
average_return                       7.08762
average_return                       7.08035
average_return                       7.08599
average_return                       7.08069
average_return                       7.07604
average_return                       7.09368
average_return                       7.09297
average_return                       7.08336
average_return                       7.07255
average_return                       7.07051
average_return                       7.07999
average_return                       7.0902
average_return                       7.085
average_return                       7.0866
average_return                       7.07819
average_return                       7.08255
average_return                       7.06745
average_return                       7.07883
average_return                       7.0792
average_return                       7.08348
average_return                       7.08157
average_return                       7.07864
average_return                       7.08611
average_return                       7.0951
average_return                       7.07925
average_return                       7.0715
average_return                       7.08571
average_return                       7.10174
average_return                       7.07934
average_return                       7.1026
average_return                       7.09227
average_return                       7.11493
average_return                       7.08224
average_return                       7.08215
average_return                       7.09732
average_return                       7.09631
average_return                       7.10258
average_return                       7.10447
average_return                       7.09994
average_return                       7.11713
average_return                       7.11536
average_return                       7.11653
average_return                       7.13871
average_return                       7.14134
average_return                       7.12101
average_return                       7.11152
average_return                       7.14856
average_return                       7.1346
average_return                       7.13504
average_return                       7.15775
average_return                       7.17326
average_return                       7.14051
average_return                       7.15481
average_return                       7.15969
average_return                       7.19537
average_return                       7.16902
average_return                       7.205
average_return                       7.22198
average_return                       7.22467
average_return                       7.20377
average_return                       7.2333
average_return                       7.35158
average_return                       7.39771
average_return                       7.49177
average_return                       7.81519
average_return                       8.11126
average_return                       8.12791
average_return                       7.88448
average_return                       8.15845
average_return                       8.01205
average_return                       8.32394
average_return                       8.35189
average_return                       8.36372
average_return                       8.39348
average_return                       8.41553
average_return                       8.41291
average_return                       8.42343
average_return                       8.42229
average_return                       8.42446
average_return                       8.43804
average_return                       8.43967
